created_at,tweet_id,tweet_text,screen_name,name,account_creation_date,urls
2021-10-03 05:19:43+00:00,1444532597229457413,@mosabuwala @HiHyderabad If you can eat their food why not drink their water. Why plastic  bottled water?,shiva338,Shiva,Fri Feb 13 11:09:37 +0000 2009,[]
2021-10-03 05:18:12+00:00,1444532212083224576,Using polymorph plastic to ctreate caps at the top so to keep water out when raining. Sure I could likely buy some.… https://t.co/9QUempzdmE,ProxiBlue,Lucas van Staden,Sun Jun 09 10:33:49 +0000 2013,"[{'url': 'https://t.co/9QUempzdmE', 'expanded_url': 'https://twitter.com/i/web/status/1444532212083224576', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
2021-10-03 05:15:43+00:00,1444531586897223686,"RT @PaulEDawson: In a span of just over three weeks, more than 47 tons of plastic waste were removed from America's largest protected marin…",shaakirayousuf,Shaakira Yousuf 🇵🇸,Mon Jun 07 17:00:05 +0000 2010,[]
2021-10-03 05:15:23+00:00,1444531504973901828,'Natural resources over plastic bottles': Sikkim to ban packaged mineral water from Jan 1 https://t.co/HZ9s8yXO7V,newzviewzoffice,Newz Viewz,Wed Jan 04 09:14:14 +0000 2017,"[{'url': 'https://t.co/HZ9s8yXO7V', 'expanded_url': 'https://www.newzviewz.com/news-detail/natural-resources-over-plastic-bottles-sikkim-to-ban-packaged-mineral-water-from-jan-1', 'display_url': 'newzviewz.com/news-detail/na…', 'indices': [90, 113]}]"
2021-10-03 05:15:23+00:00,1444531503371886593,"My yard is flooded. There is a river flowing through my carport, leaf debris and only God knows what else drifting… https://t.co/0h3IvWNRe2",kg_atlas,Kelly Gunter Atlas,Sat Jul 04 23:25:37 +0000 2015,"[{'url': 'https://t.co/0h3IvWNRe2', 'expanded_url': 'https://twitter.com/i/web/status/1444531503371886593', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]"
2021-10-03 05:14:16+00:00,1444531225524256768,"RT @ABC: NEIGHBORHOOD HERO: This Florida man took matters into his own hands, using a trash can to capture an alligator in front of a home…",arantakashi,TAKASHI,Fri May 20 08:16:02 +0000 2011,[]
2021-10-03 05:14:12+00:00,1444531206683566086,"How big of a free café water I give you is entirely based on vibe check results. You say ""large water"" but the vibe… https://t.co/oAagWxr3dr",McgeeSadness,Sadness McGee,Sun Oct 28 02:28:16 +0000 2018,"[{'url': 'https://t.co/oAagWxr3dr', 'expanded_url': 'https://twitter.com/i/web/status/1444531206683566086', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
2021-10-03 05:12:20+00:00,1444530736535638016,"RT @suicideLEOPARD: 9:00 AM - 2 pigeon eggs and 3 slices of squirrel bacon

12:00 PM - 1 roll of duck tape washed down with 2 glasses of po…",feliformae,felidae august,Sun Aug 29 22:13:31 +0000 2021,[]
2021-10-03 05:11:43+00:00,1444530583393112065,"RT @ABC: NEIGHBORHOOD HERO: This Florida man took matters into his own hands, using a trash can to capture an alligator in front of a home…",DrDinD,DrDinD 🌊🌊🌊🌊🌊,Sat Jan 07 19:27:35 +0000 2012,[]
2021-10-03 05:08:24+00:00,1444529745480269831,"RT @suicideLEOPARD: 9:00 AM - 2 pigeon eggs and 3 slices of squirrel bacon

12:00 PM - 1 roll of duck tape washed down with 2 glasses of po…",heymatthewdavid,Matt,Mon Jan 02 23:02:00 +0000 2012,[]
2021-10-03 05:07:33+00:00,1444529534100025348,"@Holger69801808 10 river systems carry 90% of the plastic that ends up in the ocean.
Eight of them are in Asia: the… https://t.co/ox7151g6K3",talentim,talentim,Fri Feb 13 10:47:58 +0000 2009,"[{'url': 'https://t.co/ox7151g6K3', 'expanded_url': 'https://twitter.com/i/web/status/1444529534100025348', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
